contract,type,target,corr
SR509.ZF,top,CF509.ZF,0.43
SR509.ZF,top,p2601.DF,0.39
SR509.ZF,top,pp2509.DF,0.36
SR509.ZF,top,MA509.ZF,0.36
SR509.ZF,top,zn2507.SF,0.36
SR509.ZF,top,cu2507.SF,0.36
SR509.ZF,top,fu2509.SF,0.35
SR509.ZF,top,bu2509.SF,0.35
SR509.ZF,bottom,PM507.ZF,0.0
SR509.ZF,bottom,LR507.ZF,0.0
SR509.ZF,bottom,WH507.ZF,0.0
SR509.ZF,bottom,RI507.ZF,0.0
SR509.ZF,bottom,ZC507.ZF,0.0
SR509.ZF,bottom,JR507.ZF,0.0
SR509.ZF,bottom,jd2508.DF,-0.02
SR509.ZF,bottom,ao2509.SF,-0.06
SR509.ZF,bottom,wr2510.SF,-0.12
SR509.ZF,bottom,fb2510.DF,-0.15
TA509.ZF,top,PX509.ZF,0.91
TA509.ZF,top,PR509.ZF,0.82
TA509.ZF,top,PF507.ZF,0.78
TA509.ZF,top,eg2509.DF,0.74
TA509.ZF,top,pp2509.DF,0.72
TA509.ZF,top,l2601.DF,0.72
TA509.ZF,top,eb2507.DF,0.68
TA509.ZF,top,fu2509.SF,0.67
TA509.ZF,top,bu2509.SF,0.67
TA509.ZF,top,MA509.ZF,0.63
TA509.ZF,bottom,LR507.ZF,0.0
TA509.ZF,bottom,JR507.ZF,0.0
TA509.ZF,bottom,WH507.ZF,0.0
TA509.ZF,bottom,RS507.ZF,0.0
TA509.ZF,bottom,a2507.DF,-0.01
TA509.ZF,bottom,lh2509.DF,-0.02
TA509.ZF,bottom,au2508.SF,-0.03
TA509.ZF,bottom,wr2510.SF,-0.05
TA509.ZF,bottom,m2601.DF,-0.16
TA509.ZF,bottom,fb2510.DF,-0.16
UR509.ZF,top,jm2509.DF,0.35
UR509.ZF,top,SA509.ZF,0.34
UR509.ZF,top,ru2509.SF,0.33
UR509.ZF,top,hc2510.SF,0.33
UR509.ZF,top,FG509.ZF,0.33
UR509.ZF,top,rb2510.SF,0.31
UR509.ZF,top,zn2507.SF,0.29
UR509.ZF,top,TA509.ZF,0.29
UR509.ZF,top,ss2508.SF,0.28
UR509.ZF,top,pp2509.DF,0.27
UR509.ZF,bottom,LR507.ZF,0.0
UR509.ZF,bottom,JR507.ZF,0.0
UR509.ZF,bottom,WH507.ZF,0.0
UR509.ZF,bottom,sn2507.SF,-0.03
UR509.ZF,bottom,b2507.DF,-0.03
UR509.ZF,bottom,lh2509.DF,-0.04
UR509.ZF,bottom,RM509.ZF,-0.06
UR509.ZF,bottom,bb2511.DF,-0.12
UR509.ZF,bottom,fb2510.DF,-0.18
UR509.ZF,bottom,m2601.DF,-0.3
WH507.ZF,top,ag2508.SF,0.0
WH507.ZF,top,al2507.SF,0.0
WH507.ZF,top,ao2509.SF,0.0
WH507.ZF,top,au2508.SF,0.0
WH507.ZF,top,br2507.SF,0.0
WH507.ZF,top,bu2509.SF,0.0
WH507.ZF,top,cu2507.SF,0.0
WH507.ZF,top,fu2509.SF,0.0
WH507.ZF,top,hc2510.SF,0.0
WH507.ZF,top,ni2507.SF,0.0
WH507.ZF,bottom,SH509.ZF,0.0
WH507.ZF,bottom,SM509.ZF,0.0
WH507.ZF,bottom,SR509.ZF,0.0
WH507.ZF,bottom,TA509.ZF,0.0
WH507.ZF,bottom,UR509.ZF,0.0
WH507.ZF,bottom,ZC507.ZF,0.0
WH507.ZF,bottom,lc2507.GF,0.0
WH507.ZF,bottom,ps2507.GF,0.0
WH507.ZF,bottom,si2507.GF,0.0
WH507.ZF,bottom,sc2507.INE,0.0
ZC507.ZF,top,ag2508.SF,0.0
ZC507.ZF,top,al2507.SF,0.0
ZC507.ZF,top,ao2509.SF,0.0
ZC507.ZF,top,au2508.SF,0.0
ZC507.ZF,top,br2507.SF,0.0
ZC507.ZF,top,bu2509.SF,0.0
ZC507.ZF,top,cu2507.SF,0.0
ZC507.ZF,top,fu2509.SF,0.0
ZC507.ZF,top,hc2510.SF,0.0
ZC507.ZF,top,ni2507.SF,0.0
ZC507.ZF,bottom,SH509.ZF,0.0
ZC507.ZF,bottom,SM509.ZF,0.0
ZC507.ZF,bottom,SR509.ZF,0.0
ZC507.ZF,bottom,TA509.ZF,0.0
ZC507.ZF,bottom,UR509.ZF,0.0
ZC507.ZF,bottom,WH507.ZF,0.0
ZC507.ZF,bottom,lc2507.GF,0.0
ZC507.ZF,bottom,ps2507.GF,0.0
ZC507.ZF,bottom,si2507.GF,0.0
ZC507.ZF,bottom,sc2507.INE,0.0
lc2507.GF,top,SA509.ZF,0.49
lc2507.GF,top,v2601.DF,0.48
lc2507.GF,top,si2507.GF,0.48
lc2507.GF,top,j2601.DF,0.46
lc2507.GF,top,ps2507.GF,0.45
lc2507.GF,top,jm2509.DF,0.45
lc2507.GF,top,FG509.ZF,0.44
lc2507.GF,top,rb2510.SF,0.42
lc2507.GF,top,SM509.ZF,0.41
lc2507.GF,top,hc2510.SF,0.41
lc2507.GF,bottom,LR507.ZF,0.0
lc2507.GF,bottom,PM507.ZF,0.0
lc2507.GF,bottom,ZC507.ZF,0.0
lc2507.GF,bottom,WH507.ZF,0.0
lc2507.GF,bottom,JR507.ZF,0.0
lc2507.GF,bottom,lh2509.DF,-0.01
lc2507.GF,bottom,pg2507.DF,-0.01
lc2507.GF,bottom,fb2510.DF,-0.03
lc2507.GF,bottom,au2508.SF,-0.07
lc2507.GF,bottom,sc2507.INE,-0.07
ps2507.GF,top,si2507.GF,0.54
ps2507.GF,top,hc2510.SF,0.47
ps2507.GF,top,rb2510.SF,0.47
ps2507.GF,top,br2507.SF,0.46
ps2507.GF,top,SA509.ZF,0.45
ps2507.GF,top,lc2507.GF,0.45
ps2507.GF,top,jm2509.DF,0.42
ps2507.GF,top,SM509.ZF,0.41
ps2507.GF,top,i2601.DF,0.41
ps2507.GF,top,j2601.DF,0.4
ps2507.GF,bottom,bu2509.SF,-0.0
ps2507.GF,bottom,JR507.ZF,0.0
ps2507.GF,bottom,sc2507.INE,-0.0
ps2507.GF,bottom,RS507.ZF,0.0
ps2507.GF,bottom,LR507.ZF,0.0
ps2507.GF,bottom,rr2508.DF,-0.03
ps2507.GF,bottom,ag2508.SF,-0.06
ps2507.GF,bottom,lh2509.DF,-0.07
ps2507.GF,bottom,fb2510.DF,-0.21
ps2507.GF,bottom,au2508.SF,-0.31
si2507.GF,top,v2601.DF,0.56
si2507.GF,top,ps2507.GF,0.54
si2507.GF,top,j2601.DF,0.53
si2507.GF,top,lc2507.GF,0.48
si2507.GF,top,hc2510.SF,0.46
si2507.GF,top,rb2510.SF,0.45
si2507.GF,top,SF509.ZF,0.44
si2507.GF,top,l2601.DF,0.44
si2507.GF,top,jm2509.DF,0.43
si2507.GF,top,FG509.ZF,0.38
si2507.GF,bottom,rr2508.DF,0.04
si2507.GF,bottom,sc2507.INE,0.03
si2507.GF,bottom,WH507.ZF,0.0
si2507.GF,bottom,PM507.ZF,0.0
si2507.GF,bottom,LR507.ZF,0.0
si2507.GF,bottom,JR507.ZF,0.0
si2507.GF,bottom,ZC507.ZF,0.0
si2507.GF,bottom,RI507.ZF,0.0
si2507.GF,bottom,au2508.SF,-0.05
si2507.GF,bottom,fb2510.DF,-0.06
sc2507.INE,top,fu2509.SF,0.81
sc2507.INE,top,bu2509.SF,0.65
sc2507.INE,top,pg2507.DF,0.64
sc2507.INE,top,l2601.DF,0.62
sc2507.INE,top,PR509.ZF,0.6
sc2507.INE,top,PX509.ZF,0.59
sc2507.INE,top,TA509.ZF,0.57
sc2507.INE,top,p2601.DF,0.52
sc2507.INE,top,pp2509.DF,0.5
sc2507.INE,top,eb2507.DF,0.45
sc2507.INE,bottom,a2507.DF,-0.06
sc2507.INE,bottom,wr2510.SF,-0.07
sc2507.INE,bottom,RM509.ZF,-0.07
sc2507.INE,bottom,lc2507.GF,-0.07
sc2507.INE,bottom,c2509.DF,-0.07
sc2507.INE,bottom,SM509.ZF,-0.08
sc2507.INE,bottom,jd2508.DF,-0.1
sc2507.INE,bottom,fb2510.DF,-0.11
sc2507.INE,bottom,m2601.DF,-0.11
sc2507.INE,bottom,SA509.ZF,-0.13
