,ag2508.SF,al2507.SF,ao2509.SF,au2508.SF,br2507.SF,bu2509.SF,cu2507.SF,fu2507.SF,hc2510.SF,ni2507.SF,pb2507.SF,rb2510.SF,ru2509.SF,sn2507.SF,sp2507.SF,ss2507.SF,wr2510.SF,zn2507.SF,a2509.DF,b2508.DF,bb2511.DF,c2509.DF,cs2507.DF,eb2507.DF,eg2509.DF,fb2510.DF,i2601.DF,j2601.DF,jd2507.DF,jm2509.DF,l2601.DF,lg2507.DF,lh2509.DF,m2601.DF,p2601.DF,pg2507.DF,pp2509.DF,rr2507.DF,v2601.DF,y2601.DF,AP510.ZF,CF509.ZF,CJ509.ZF,CY509.ZF,FG509.ZF,JR507.ZF,LR507.ZF,MA509.ZF,OI509.ZF,PF507.ZF,PK510.ZF,PM507.ZF,PR507.ZF,PX509.ZF,RI507.ZF,RM509.ZF,RS507.ZF,SA509.ZF,SF509.ZF,SH509.ZF,SM509.ZF,SR509.ZF,TA509.ZF,UR509.ZF,WH507.ZF,ZC506.ZF,lc2507.GF,ps2507.GF,si2507.GF,sc2507.INE
pb2507.SF,0.3350794167752282,0.3949145010206898,0.08095506982486712,0.15085482380600826,0.15137989352296038,0.3494037715824624,0.5024288890203145,0.29424189074330004,0.2651073406472418,0.349548188986261,1.0,0.27117392911228416,0.29356317908407237,0.32740159756586457,0.3541878854387641,0.30197460217859984,-0.1037998766464973,0.4891408011573987,0.07547572055161644,0.10973516572601093,0.009215423755861105,-0.027955437129309032,0.035302162516756996,0.23769966331890202,0.3694706527363886,-0.15339692400132116,0.3425371374360392,0.23996599434359983,0.032720187651473116,0.18606549810149706,0.487318951815654,0.0903927177382952,-0.008652337338922554,0.04292481887747332,0.370924042705355,0.19328024499225882,0.2880854068955657,0.029542871491812357,0.2747322502768085,0.313059591794476,0.08256440515662317,0.3911475171023811,0.2720823067954299,0.3544968522389407,0.21635039192855868,,,0.37555533949841297,0.12773485124904177,0.3195100395094222,0.19029984795748797,,0.43885761997033157,0.33528426412963175,,0.07102523921449314,0.031977264510059236,0.20990226055954678,0.1651325630565194,0.11046965977179751,0.23100664529216355,0.2777487780464788,0.36480983155824853,0.13999071350856687,,,0.13395436242034012,0.13240559713933198,0.15249434258777508,0.2129165579266969
rb2510.SF,0.1836661968857289,0.37035519238778664,0.24872793088796605,-0.11806547980305827,0.40363086011847876,0.28752258939195013,0.43523342177598373,0.28673387737509815,0.9707603298907289,0.4163339195789918,0.27117392911228416,1.0,0.4287633843936369,0.20841740767362132,0.36563438615639454,0.508758351562253,0.08850465131430353,0.5027941668111932,0.10965586807832942,0.16321590875700812,-0.0024142326906748273,0.16778167126858748,0.19389636990062978,0.3886752910009977,0.5031302340032787,-0.21263632142068828,0.7788243630244314,0.7140446700317995,0.06896746664677425,0.6872928830271942,0.6263686694080344,0.3427791287958019,0.02487384064188957,-0.086371006790518,0.2937432444401565,0.2483092544575378,0.5852426297734682,0.042592592511846925,0.5963579287261119,0.2448107069233687,0.20608804469481304,0.42894814265748465,0.3505823021804243,0.30150178643898534,0.6396556931191538,,,0.49064234511209903,0.07904965065793994,0.41974119113186265,0.18334131042996016,,0.4266661112658271,0.37727669043551654,,0.11108427982933897,-0.0035694848584115987,0.6280628187848074,0.5004204584454811,0.22989278185682746,0.5332783403041486,0.30794430897431735,0.4312070402409556,0.3104403006926594,,,0.40896003955447563,0.47081192482769013,0.44893737785647414,0.18432485603240115
ru2509.SF,0.14591919619525842,0.45014952234196665,0.16334461960228633,-0.08089330178130087,0.6141076083471683,0.3934920558781065,0.5441846791749451,0.20838616466567977,0.46106244691118603,0.3608833910426952,0.29356317908407237,0.4287633843936369,1.0,0.2614463473734996,0.3701242328962264,0.43888261310671745,-0.06701849625919896,0.5089360744363002,0.15856107002114592,0.12614348299191852,-0.03302511346328914,0.23493895337998164,0.23436468391043547,0.4605398944132467,0.5765943970611332,-0.21508421617543774,0.5577808901187425,0.41908367417607517,0.0025913273248608796,0.5438139829470077,0.6312643830577123,0.19082798624854289,-0.04272774935245913,-0.14663162776690436,0.3618327744303766,0.12571463831465052,0.46046370997633823,0.10169373738996451,0.46904375863641923,0.3384428354751976,0.16356092250116572,0.4986864085548856,0.37310358559416223,0.3596668094630732,0.43837168584481206,,,0.4411128852953382,0.1818489357887065,0.5008590705078311,0.2882854902689637,,0.45680594930240104,0.4388515128627858,,0.08381472712975986,0.06276811168547854,0.519027690743982,0.3143236325733866,0.3396928090823258,0.3853145913209786,0.33613642877612854,0.4734573199646128,0.33146775637162923,,,0.36929024715099384,0.3371208753282686,0.2826009143774691,0.201951449901848
sn2507.SF,0.3984003543621391,0.36242719497731823,0.006446685737522625,0.2158475153017914,0.29280898281686973,0.36556765502944066,0.4365730313926915,0.3635755273995134,0.2393183660990719,0.3452784485033064,0.32740159756586457,0.20841740767362132,0.2614463473734996,1.0,0.22642115934424129,0.3904119699646255,0.00045267569820372307,0.3519438671053359,-0.08241573611140009,0.12813065013110997,-0.09108574569841622,-0.06027793741754376,-0.033399398058045884,0.27399178451046075,0.3602926373980506,-0.06057271265779483,0.4182715773904885,0.2937765030520642,0.013374835056533802,0.2036060986237654,0.5550719668278616,0.15797979682953994,0.045585254985510575,0.12115702791594153,0.44632245925093345,0.3680770049886787,0.28540975747772385,0.08284118542716,0.3139376034364888,0.4070267429776684,0.09381994973947716,0.21550735768206553,0.10042701013774012,0.33606539768005944,0.03951179059959221,,,0.3006654469144953,0.14973295721586086,0.3155000213407589,0.23050970757270192,,0.3395303532599291,0.3757959707904017,,-0.03858960289472984,-0.021268273988246995,-0.03171482691459806,0.08127103399498406,0.025658803887097268,0.003328355475482996,0.33428613263892104,0.3473091012971813,-0.025039628237028596,,,0.03866826507651255,0.1645887428860777,0.1720329791252564,0.30050442138529365
sp2507.SF,0.2042028697991396,0.3459424956154018,0.09925341208779526,0.0048384646531737545,0.3422190814019331,0.36780067451126147,0.396809217936657,0.3363667572396148,0.36617053381077697,0.3044220664093028,0.3541878854387641,0.36563438615639454,0.3701242328962264,0.22642115934424129,1.0,0.32322814070270944,-0.029429345852777938,0.27926527342283486,0.17064135329617633,0.2406060373339037,0.09133357052499876,0.1901989504836135,0.1964328115310227,0.45095561095066156,0.44988574819505556,-0.17022930408828083,0.327600360041782,0.1676403359020249,0.1939775249406215,0.31847164539649186,0.5734506985264526,0.2562983364517696,0.14721598166844965,0.12792280620279753,0.42319586468736703,0.09101639027295302,0.3938836802846233,0.0034303491866655034,0.3424432147078417,0.31072724201276847,0.1996327060826252,0.4270167982024155,0.2592614431195067,0.3174296086406151,0.26167054930549527,,,0.43128095239205444,0.10605423498610195,0.41534421613512196,0.3128823792594472,,0.43488770083970507,0.4150143153290295,,0.2147097792564338,0.09958963532688164,0.35377801962003214,0.24321760816365745,0.34037104922358263,0.3132752886502779,0.22119848431951875,0.45575326500420577,0.10706801778236186,,,0.1649853660833132,0.2288825835917413,0.27511909821517416,0.2069048731532418
ss2507.SF,0.3284517663215524,0.42045847924141216,0.22780965475265158,0.11426988376331182,0.34367665748513815,0.37454958328095544,0.5555327970373106,0.28380452944821827,0.5321077555841447,0.6951024820577235,0.30197460217859984,0.508758351562253,0.43888261310671745,0.3904119699646255,0.32322814070270944,1.0,0.004474405846148346,0.4047484533262448,-0.0010015929869281617,0.025220900565050865,0.05745096638834315,0.16612600573663347,0.17136180070469922,0.38778194582663356,0.5515550828836796,-0.11367688991652132,0.5135616418652983,0.43298040655218073,0.048061251096852046,0.48400114928596494,0.6447033475565788,0.1704524786292831,-0.03168288792989274,-0.13152215426190073,0.32285112343764844,0.2185357650767653,0.5073636354444214,0.0017133067700256192,0.4489383721199237,0.33874844334671317,0.08876643918844539,0.3734179172635126,0.2855529485094373,0.39818969160471146,0.3708554574271951,,,0.502342192157237,0.09338954133914602,0.4505460833950245,0.20022094580855987,,0.4614320893396617,0.4765348734190908,,0.0328199400857055,-0.010076217239624386,0.32497612467380466,0.4067715201239355,0.2852807319934361,0.3720117760547603,0.3054034065542688,0.47956374585330813,0.23362818616390726,,,0.2502945242922914,0.28741219882711866,0.3049036093869487,0.21899666021222167
wr2510.SF,-0.14601012885921597,-0.07383433500502747,0.05299177981553826,-0.05848353540423147,0.015796035110861792,-0.09146916654866435,-0.13563628007392092,-0.05186460259638397,0.10465792814779827,-0.05339369443109757,-0.1037998766464973,0.08850465131430353,-0.06701849625919896,0.00045267569820372307,-0.029429345852777938,0.004474405846148346,1.0,-0.13112760627082093,-0.011255039615755642,0.10922643646526667,-0.02443548878486578,0.0534691381010963,0.13721399412098406,-0.04973895364007489,-0.07880565118045711,0.02058873729567524,0.02477807045154743,0.19408458837348863,0.14338659549210936,0.13657067349362562,0.033237261772768555,0.14296773005995733,-0.03266559181233553,0.1598863791468273,0.020470957919022297,0.006010971137830862,0.031996015917764485,-0.056336911120447884,0.03323631815455156,0.023586737184794662,-0.00928847619840625,0.01084859432934,-0.014282100426472334,-0.05481022626271764,-0.08267878409563299,,,-0.010103789598232812,0.1432216101521345,-0.1184629871809889,0.008904028587720568,,-0.04068432920165074,-0.11624542402759551,,0.09329852051641241,0.004156885135981499,-0.009526780624607325,0.20978230909811366,-0.013449851206087068,0.06693390050858589,-0.12212505531816004,-0.05599897324187481,0.005736225548361061,,,0.05873798688479942,0.19700029507681868,0.12912591467453335,-0.06593572170500421
zn2507.SF,0.3062571478476186,0.6240653801131729,0.236367265870858,0.10969684347856232,0.28163749184386044,0.3622923346019397,0.6598777478666419,0.3226689096286134,0.5006332184571969,0.4400099170292575,0.4891408011573987,0.5027941668111932,0.5089360744363002,0.3519438671053359,0.27926527342283486,0.4047484533262448,-0.13112760627082093,1.0,0.08783272331518796,0.09885088907874817,-0.12475510908903972,0.07209204226425404,0.06218459158188891,0.32666950061918015,0.5306398999309626,-0.19477467743535862,0.5389403654683864,0.5047211547225875,0.047452467658989576,0.45243983807935284,0.6341680238035989,0.17669555824195665,0.040075941169796916,0.04512308381150686,0.40675197289608944,0.2465654698091025,0.548603362020767,0.08600126636599885,0.5128230171163739,0.39374669834963905,0.28257667260122193,0.4824039078539973,0.2519722755236183,0.32506010730525203,0.35889901889815445,,,0.4990408707246196,0.14879611182822508,0.3751209910567428,0.2838526192432986,,0.4563122724781623,0.44695409418695514,,0.02085157489184503,0.0645829928915322,0.3092712007498883,0.2606742000596842,0.196700957022055,0.2636043072424956,0.379963099378419,0.4743043916485295,0.28505279607114964,,,0.180295629820217,0.33446524640171726,0.21978245197136334,0.2890656196883944
a2509.DF,0.09611265458875791,0.0031378107041318136,0.01215073287764088,0.1613604168081744,0.038919434710503194,-0.011077056344215245,-0.001322835449359035,-0.07345195046409696,0.04239027588910923,0.09771838509091155,0.07547572055161644,0.10965586807832942,0.15856107002114592,-0.08241573611140009,0.17064135329617633,-0.0010015929869281617,-0.011255039615755642,0.08783272331518796,1.0,0.5928300101993705,-0.07900510026251467,0.4152698079653056,0.42924528782198995,0.026594115656444796,0.02009674997936138,-0.10961444964163489,-0.06495938183503977,-0.006613631520547625,0.21364500564218034,0.11464110785828513,0.031526656080722706,0.02295535690554703,0.1553324302555086,0.5415123706944633,0.06724102938428764,-0.11855518534794557,0.03800513977847938,0.09194368324209241,0.031512345859020005,0.23411345006274284,0.2184909688881657,0.14749668300132235,0.1936394299292805,-0.048607471461713125,0.19797348473362766,,,0.09731134867290032,0.2772060603423389,-0.010697246005695053,0.3122709748073034,,0.016820403687721572,-0.044839861968498027,,0.4967540157897005,0.2210436071557644,0.2674793265827779,0.05390679978275401,0.15397104344003884,0.11050293214111541,0.08583996067530694,-0.02060304481091776,0.12763446247498086,,,0.1250132452441925,0.0502941814932951,0.1857561933805356,-0.10597694796771111
b2508.DF,0.11677897326168986,0.15633960435440614,-0.04213884866159725,0.08283157671996405,0.16341132742713316,0.13968004832527695,0.08058705639723054,0.1612005418499752,0.13338031283847654,0.11489967116667266,0.10973516572601093,0.16321590875700812,0.12614348299191852,0.12813065013110997,0.2406060373339037,0.025220900565050865,0.10922643646526667,0.09885088907874817,0.5928300101993705,1.0,0.08319051766187129,0.3247446666616046,0.28751993691515343,0.13287355087159683,0.05804838048652151,0.04260032657274229,-0.10736144728220519,0.09134591688830382,0.3073477265032647,0.19583610088306047,0.18291757033154352,0.10816349862594071,0.21382204321940895,0.9031073796910684,0.3536545615885609,-0.012957498265054835,0.12456811847242191,0.08486066929087858,0.1321315072419474,0.5082221257774752,0.13551317785014613,0.2566089110190398,0.15223586637040046,0.08223533314049801,0.13339302808948833,,,0.1359542660604769,0.5417575904060943,0.05762582672476871,0.2848256065040215,,0.11829077751497719,0.07988541774890227,,0.7083493113884661,0.29055430970735796,0.201030383894511,0.1425704286555492,0.058100836527912356,0.13018168903186417,0.23586520942710032,0.08218866270464151,-0.01681426668495918,,,0.21689096825226883,0.18827265228862977,0.23972222412152627,0.03266652769903774
bb2511.DF,0.0963099179137802,0.04770509266331865,0.20065251459873448,-0.006547792838965468,0.0384329197749344,0.18695407519073667,0.01749034529201562,0.13103572099300187,0.05491548696932726,-0.1303856341429894,0.009215423755861105,-0.0024142326906748273,-0.03302511346328914,-0.09108574569841622,0.09133357052499876,0.05745096638834315,-0.02443548878486578,-0.12475510908903972,-0.07900510026251467,0.08319051766187129,1.0,-0.034114196048047454,-0.09407517426516031,0.06447147954999637,0.11563538845333586,0.08898765872385296,0.03251836407424972,-0.05438295670680685,-0.03966700578170136,-0.09167019283950577,0.0654383786588742,-0.06848150774524533,0.02477206486699103,0.04552694328960057,0.18654961522764385,-0.08530541067353593,0.06302693990120656,-0.1083188332166357,0.025370063297972492,0.12017092511068077,-0.11844206166688909,0.031063869961111646,-0.12935860031934757,0.021328093735235146,-0.13879589134622386,,,0.0967046398968869,0.1305055011544052,0.148077208302798,-0.09861226677839395,,0.10583839872972443,0.0904611127822493,,0.05405095293355846,0.05971086088305295,-0.02752786751498095,0.03209139919283585,0.06207774880429963,0.09756181778055657,0.053305255773191326,0.10686681662679645,-0.11427937388474282,,,0.04444688567888436,0.047364614362467944,0.09579021277879825,0.06203720919672945
